iata,latitude,longitude
Apley Court,42.3723099,-71.1181106
Canaday Hall,42.3751195,-71.1154944
Grays Hall,42.373643,-71.1177883
Greenough Hall,42.3729187,-71.11381530000001
Hollis Hall,42.3750186,-71.1178602
Holworthy Hall,42.3755102,-71.1172071
Hurlbut Hall,42.3721399,-71.1139836
Lionel Hall,42.37510229999999,-71.1183588
Massachusetts Hall,42.3744368,-71.118281
Matthews Hall,42.3740533,-71.11814509999999
Mower Hall,42.3754695,-71.1182432
Pennypacker Hall,42.3720959,-71.1135449
Stoughton Hall,42.3753993,-71.1177247
Straus Hall,42.3741334,-71.11859489999999
Thayer Hall,42.3749359,-71.1167607
Weld Hall,42.3739132,-71.1171092
Wigglesworth Hall,42.3730561,-71.1170732
Maple Yard Dorms,42.3748446,-71.1182358
Adams House,42.371723,-71.1166585
Quincy House,42.37054759999999,-71.11737719999999
Dunster House,42.3688677,-71.1159634
Cabot House,42.3811693,-71.12473090000002
Eliot House,42.3702829,-71.121056
Currier House,42.381808,-71.1255378
Pforzheimer House,42.38248309999999,-71.1246922
Winthrop House,42.3702025,-71.1191008
Mather House,42.3687061,-71.1153326
Lowell House,42.3715741,-71.11807209999999
Leverett House,42.3700474,-71.11740139999999
Kirkland House,42.3706817,-71.1208953